FIPS,Name of Area,Qualifying Name,State (FIPS),County,Census Tract,Geographic Identifier,Total Population,Housing Units,Occupied Housing Units:,Occupied Housing Units: Owner Occupied,Occupied Housing Units: Renter Occupied
6037113421,Census Tract 1134.21,"Census Tract 1134.21, Los Angeles County, California",6,37,113421,14000US06037113421,6810,2149,2067,439,1628
6037113422,Census Tract 1134.22,"Census Tract 1134.22, Los Angeles County, California",6,37,113422,14000US06037113422,6385,2258,2063,1141,922
6037115101,Census Tract 1151.01,"Census Tract 1151.01, Los Angeles County, California",6,37,115101,14000US06037115101,5060,1745,1616,1504,112
6037115103,Census Tract 1151.03,"Census Tract 1151.03, Los Angeles County, California",6,37,115103,14000US06037115103,3393,42,30,0,30
6037115104,Census Tract 1151.04,"Census Tract 1151.04, Los Angeles County, California",6,37,115104,14000US06037115104,4752,2122,1888,459,1429
6037115201,Census Tract 1152.01,"Census Tract 1152.01, Los Angeles County, California",6,37,115201,14000US06037115201,6909,2894,2723,770,1953
6037115202,Census Tract 1152.02,"Census Tract 1152.02, Los Angeles County, California",6,37,115202,14000US06037115202,5328,1955,1931,830,1101
6037115301,Census Tract 1153.01,"Census Tract 1153.01, Los Angeles County, California",6,37,115301,14000US06037115301,4600,1776,1664,968,696
6037115302,Census Tract 1153.02,"Census Tract 1153.02, Los Angeles County, California",6,37,115302,14000US06037115302,4132,1084,1054,349,705
6037115401,Census Tract 1154.01,"Census Tract 1154.01, Los Angeles County, California",6,37,115401,14000US06037115401,6219,2067,1923,688,1235
6037115403,Census Tract 1154.03,"Census Tract 1154.03, Los Angeles County, California",6,37,115403,14000US06037115403,3722,1079,1036,372,664
6037115404,Census Tract 1154.04,"Census Tract 1154.04, Los Angeles County, California",6,37,115404,14000US06037115404,2926,888,836,455,381
6037117101,Census Tract 1171.01,"Census Tract 1171.01, Los Angeles County, California",6,37,117101,14000US06037117101,5115,1433,1419,981,438
6037117102,Census Tract 1171.02,"Census Tract 1171.02, Los Angeles County, California",6,37,117102,14000US06037117102,2839,837,820,539,281
6037117201,Census Tract 1172.01,"Census Tract 1172.01, Los Angeles County, California",6,37,117201,14000US06037117201,4785,1273,1197,360,837
6037117202,Census Tract 1172.02,"Census Tract 1172.02, Los Angeles County, California",6,37,117202,14000US06037117202,2577,802,769,612,157
6037117301,Census Tract 1173.01,"Census Tract 1173.01, Los Angeles County, California",6,37,117301,14000US06037117301,4005,1261,1244,1046,198
6037117302,Census Tract 1173.02,"Census Tract 1173.02, Los Angeles County, California",6,37,117302,14000US06037117302,5335,1790,1712,1312,400
6037117303,Census Tract 1173.03,"Census Tract 1173.03, Los Angeles County, California",6,37,117303,14000US06037117303,3578,1057,1030,888,142
6037117404,Census Tract 1174.04,"Census Tract 1174.04, Los Angeles County, California",6,37,117404,14000US06037117404,4729,1369,1347,911,436
6037117405,Census Tract 1174.05,"Census Tract 1174.05, Los Angeles County, California",6,37,117405,14000US06037117405,3723,893,856,59,797
6037117407,Census Tract 1174.07,"Census Tract 1174.07, Los Angeles County, California",6,37,117407,14000US06037117407,4064,988,972,11,961
6037117408,Census Tract 1174.08,"Census Tract 1174.08, Los Angeles County, California",6,37,117408,14000US06037117408,3333,879,858,153,705
6037117510,Census Tract 1175.10,"Census Tract 1175.10, Los Angeles County, California",6,37,117510,14000US06037117510,4340,1078,1006,155,851
6037117520,Census Tract 1175.20,"Census Tract 1175.20, Los Angeles County, California",6,37,117520,14000US06037117520,4133,1063,1053,179,874
6037117530,Census Tract 1175.30,"Census Tract 1175.30, Los Angeles County, California",6,37,117530,14000US06037117530,6864,1637,1622,343,1279
6037119001,Census Tract 1190.01,"Census Tract 1190.01, Los Angeles County, California",6,37,119001,14000US06037119001,4329,984,959,749,210
6037119002,Census Tract 1190.02,"Census Tract 1190.02, Los Angeles County, California",6,37,119002,14000US06037119002,8052,1694,1675,1171,504
6037119201,Census Tract 1192.01,"Census Tract 1192.01, Los Angeles County, California",6,37,119201,14000US06037119201,4289,908,894,672,222
6037119202,Census Tract 1192.02,"Census Tract 1192.02, Los Angeles County, California",6,37,119202,14000US06037119202,4723,1054,1054,782,272
6037119310,Census Tract 1193.10,"Census Tract 1193.10, Los Angeles County, California",6,37,119310,14000US06037119310,4085,1225,1202,539,663
6037119320,Census Tract 1193.20,"Census Tract 1193.20, Los Angeles County, California",6,37,119320,14000US06037119320,4761,1201,1201,329,872
6037119340,Census Tract 1193.40,"Census Tract 1193.40, Los Angeles County, California",6,37,119340,14000US06037119340,4032,1043,997,10,987
6037119341,Census Tract 1193.41,"Census Tract 1193.41, Los Angeles County, California",6,37,119341,14000US06037119341,2877,831,806,272,534
6037119342,Census Tract 1193.42,"Census Tract 1193.42, Los Angeles County, California",6,37,119342,14000US06037119342,3092,773,765,318,447
6037119400,Census Tract 1194,"Census Tract 1194, Los Angeles County, California",6,37,119400,14000US06037119400,5426,1176,1148,918,230
6037119700,Census Tract 1197,"Census Tract 1197, Los Angeles County, California",6,37,119700,14000US06037119700,5076,1336,1315,1099,216
6037119800,Census Tract 1198,"Census Tract 1198, Los Angeles County, California",6,37,119800,14000US06037119800,6130,1513,1476,1146,330
6037119900,Census Tract 1199,"Census Tract 1199, Los Angeles County, California",6,37,119900,14000US06037119900,4998,1255,1183,945,238
6037120010,Census Tract 1200.10,"Census Tract 1200.10, Los Angeles County, California",6,37,120010,14000US06037120010,2701,740,730,385,345
6037120020,Census Tract 1200.20,"Census Tract 1200.20, Los Angeles County, California",6,37,120020,14000US06037120020,3853,1156,1138,192,946
6037120030,Census Tract 1200.30,"Census Tract 1200.30, Los Angeles County, California",6,37,120030,14000US06037120030,2683,765,740,59,681
6037120103,Census Tract 1201.03,"Census Tract 1201.03, Los Angeles County, California",6,37,120103,14000US06037120103,3399,896,841,58,783
6037120104,Census Tract 1201.04,"Census Tract 1201.04, Los Angeles County, California",6,37,120104,14000US06037120104,2236,800,790,114,676
6037120105,Census Tract 1201.05,"Census Tract 1201.05, Los Angeles County, California",6,37,120105,14000US06037120105,2872,906,881,251,630
6037120106,Census Tract 1201.06,"Census Tract 1201.06, Los Angeles County, California",6,37,120106,14000US06037120106,4663,1240,1167,107,1060
6037120107,Census Tract 1201.07,"Census Tract 1201.07, Los Angeles County, California",6,37,120107,14000US06037120107,3703,1095,1058,66,992
6037120108,Census Tract 1201.08,"Census Tract 1201.08, Los Angeles County, California",6,37,120108,14000US06037120108,4754,1405,1340,346,994
6037120300,Census Tract 1203,"Census Tract 1203, Los Angeles County, California",6,37,120300,14000US06037120300,5190,1473,1341,984,357
6037120400,Census Tract 1204,"Census Tract 1204, Los Angeles County, California",6,37,120400,14000US06037120400,6664,2149,2125,672,1453
6037121010,Census Tract 1210.10,"Census Tract 1210.10, Los Angeles County, California",6,37,121010,14000US06037121010,4901,1337,1274,913,361
6037121020,Census Tract 1210.20,"Census Tract 1210.20, Los Angeles County, California",6,37,121020,14000US06037121020,3617,1116,1075,505,570
6037121101,Census Tract 1211.01,"Census Tract 1211.01, Los Angeles County, California",6,37,121101,14000US06037121101,2900,1015,922,399,523
6037121102,Census Tract 1211.02,"Census Tract 1211.02, Los Angeles County, California",6,37,121102,14000US06037121102,2724,833,816,531,285
6037121210,Census Tract 1212.10,"Census Tract 1212.10, Los Angeles County, California",6,37,121210,14000US06037121210,3066,818,785,494,291
6037121221,Census Tract 1212.21,"Census Tract 1212.21, Los Angeles County, California",6,37,121221,14000US06037121221,2402,567,528,342,186
6037121222,Census Tract 1212.22,"Census Tract 1212.22, Los Angeles County, California",6,37,121222,14000US06037121222,5378,1282,1223,384,839
6037121600,Census Tract 1216,"Census Tract 1216, Los Angeles County, California",6,37,121600,14000US06037121600,2542,868,821,602,219
6037121801,Census Tract 1218.01,"Census Tract 1218.01, Los Angeles County, California",6,37,121801,14000US06037121801,2999,1232,1122,344,778
6037121802,Census Tract 1218.02,"Census Tract 1218.02, Los Angeles County, California",6,37,121802,14000US06037121802,3249,748,715,549,166
6037121900,Census Tract 1219,"Census Tract 1219, Los Angeles County, California",6,37,121900,14000US06037121900,3657,1102,957,593,364
6037122000,Census Tract 1220,"Census Tract 1220, Los Angeles County, California",6,37,122000,14000US06037122000,6287,1577,1555,954,601
6037122120,Census Tract 1221.20,"Census Tract 1221.20, Los Angeles County, California",6,37,122120,14000US06037122120,4616,1137,1070,557,513
6037122121,Census Tract 1221.21,"Census Tract 1221.21, Los Angeles County, California",6,37,122121,14000US06037122121,2593,740,700,326,374
6037122122,Census Tract 1221.22,"Census Tract 1221.22, Los Angeles County, California",6,37,122122,14000US06037122122,2652,627,593,140,453
6037122200,Census Tract 1222,"Census Tract 1222, Los Angeles County, California",6,37,122200,14000US06037122200,3739,960,895,443,452
6037122410,Census Tract 1224.10,"Census Tract 1224.10, Los Angeles County, California",6,37,122410,14000US06037122410,3588,1168,1099,115,984
6037122420,Census Tract 1224.20,"Census Tract 1224.20, Los Angeles County, California",6,37,122420,14000US06037122420,4381,1380,1380,461,919
6037123010,Census Tract 1230.10,"Census Tract 1230.10, Los Angeles County, California",6,37,123010,14000US06037123010,3959,1081,1057,351,706
6037123020,Census Tract 1230.20,"Census Tract 1230.20, Los Angeles County, California",6,37,123020,14000US06037123020,3343,826,826,514,312
6037123103,Census Tract 1231.03,"Census Tract 1231.03, Los Angeles County, California",6,37,123103,14000US06037123103,3883,1609,1550,470,1080
6037123104,Census Tract 1231.04,"Census Tract 1231.04, Los Angeles County, California",6,37,123104,14000US06037123104,4537,1661,1557,386,1171
6037123203,Census Tract 1232.03,"Census Tract 1232.03, Los Angeles County, California",6,37,123203,14000US06037123203,3880,1179,1137,123,1014
6037123204,Census Tract 1232.04,"Census Tract 1232.04, Los Angeles County, California",6,37,123204,14000US06037123204,3004,1092,1015,198,817
6037123205,Census Tract 1232.05,"Census Tract 1232.05, Los Angeles County, California",6,37,123205,14000US06037123205,2615,784,759,142,617
6037123206,Census Tract 1232.06,"Census Tract 1232.06, Los Angeles County, California",6,37,123206,14000US06037123206,2638,908,869,205,664
6037123301,Census Tract 1233.01,"Census Tract 1233.01, Los Angeles County, California",6,37,123301,14000US06037123301,4356,1604,1473,527,946
6037123303,Census Tract 1233.03,"Census Tract 1233.03, Los Angeles County, California",6,37,123303,14000US06037123303,2987,962,934,280,654
6037123304,Census Tract 1233.04,"Census Tract 1233.04, Los Angeles County, California",6,37,123304,14000US06037123304,4348,1762,1668,319,1349
6037123410,Census Tract 1234.10,"Census Tract 1234.10, Los Angeles County, California",6,37,123410,14000US06037123410,4249,1322,1250,359,891
6037123420,Census Tract 1234.20,"Census Tract 1234.20, Los Angeles County, California",6,37,123420,14000US06037123420,4359,1480,1399,448,951
6037123510,Census Tract 1235.10,"Census Tract 1235.10, Los Angeles County, California",6,37,123510,14000US06037123510,4913,1700,1619,464,1155
6037123520,Census Tract 1235.20,"Census Tract 1235.20, Los Angeles County, California",6,37,123520,14000US06037123520,2888,893,874,355,519
6037123601,Census Tract 1236.01,"Census Tract 1236.01, Los Angeles County, California",6,37,123601,14000US06037123601,4741,1907,1885,627,1258
6037123602,Census Tract 1236.02,"Census Tract 1236.02, Los Angeles County, California",6,37,123602,14000US06037123602,3664,1364,1364,457,907
6037123700,Census Tract 1237,"Census Tract 1237, Los Angeles County, California",6,37,123700,14000US06037123700,4338,1586,1423,804,619
6037123800,Census Tract 1238,"Census Tract 1238, Los Angeles County, California",6,37,123800,14000US06037123800,6150,2491,2364,777,1587
6037123901,Census Tract 1239.01,"Census Tract 1239.01, Los Angeles County, California",6,37,123901,14000US06037123901,4374,1560,1482,375,1107
6037123902,Census Tract 1239.02,"Census Tract 1239.02, Los Angeles County, California",6,37,123902,14000US06037123902,2499,1159,1083,347,736
6037124000,Census Tract 1240,"Census Tract 1240, Los Angeles County, California",6,37,124000,14000US06037124000,5131,2194,2120,976,1144
6037124102,Census Tract 1241.02,"Census Tract 1241.02, Los Angeles County, California",6,37,124102,14000US06037124102,3542,1527,1409,343,1066
6037124103,Census Tract 1241.03,"Census Tract 1241.03, Los Angeles County, California",6,37,124103,14000US06037124103,1983,613,598,201,397
6037124104,Census Tract 1241.04,"Census Tract 1241.04, Los Angeles County, California",6,37,124104,14000US06037124104,2444,1058,995,142,853
6037124105,Census Tract 1241.05,"Census Tract 1241.05, Los Angeles County, California",6,37,124105,14000US06037124105,2462,953,933,155,778
6037124201,Census Tract 1242.01,"Census Tract 1242.01, Los Angeles County, California",6,37,124201,14000US06037124201,3435,1187,1177,580,597
6037124203,Census Tract 1242.03,"Census Tract 1242.03, Los Angeles County, California",6,37,124203,14000US06037124203,2537,890,842,337,505
6037124204,Census Tract 1242.04,"Census Tract 1242.04, Los Angeles County, California",6,37,124204,14000US06037124204,2152,1060,923,95,828
6037124300,Census Tract 1243,"Census Tract 1243, Los Angeles County, California",6,37,124300,14000US06037124300,3026,1367,1188,279,909
6037124400,Census Tract 1244,"Census Tract 1244, Los Angeles County, California",6,37,124400,14000US06037124400,4690,1745,1745,659,1086
6037124500,Census Tract 1245,"Census Tract 1245, Los Angeles County, California",6,37,124500,14000US06037124500,3057,1261,1194,570,624
6037124600,Census Tract 1246,"Census Tract 1246, Los Angeles County, California",6,37,124600,14000US06037124600,3031,1439,1370,535,835
6037124700,Census Tract 1247,"Census Tract 1247, Los Angeles County, California",6,37,124700,14000US06037124700,5697,2500,2383,1139,1244
6037124902,Census Tract 1249.02,"Census Tract 1249.02, Los Angeles County, California",6,37,124902,14000US06037124902,2654,1577,1511,120,1391
6037124903,Census Tract 1249.03,"Census Tract 1249.03, Los Angeles County, California",6,37,124903,14000US06037124903,3587,1691,1580,306,1274
6037125100,Census Tract 1251,"Census Tract 1251, Los Angeles County, California",6,37,125100,14000US06037125100,6044,3040,2841,785,2056
6037125200,Census Tract 1252,"Census Tract 1252, Los Angeles County, California",6,37,125200,14000US06037125200,3623,1784,1585,577,1008
6037125310,Census Tract 1253.10,"Census Tract 1253.10, Los Angeles County, California",6,37,125310,14000US06037125310,4761,2236,2022,463,1559
6037125320,Census Tract 1253.20,"Census Tract 1253.20, Los Angeles County, California",6,37,125320,14000US06037125320,5379,3025,2822,140,2682
6037125401,Census Tract 1254.01,"Census Tract 1254.01, Los Angeles County, California",6,37,125401,14000US06037125401,4729,2795,2516,187,2329
6037125402,Census Tract 1254.02,"Census Tract 1254.02, Los Angeles County, California",6,37,125402,14000US06037125402,4676,2051,2021,559,1462
6037125501,Census Tract 1255.01,"Census Tract 1255.01, Los Angeles County, California",6,37,125501,14000US06037125501,3127,1641,1606,234,1372
