FIPS,Name of Area,Qualifying Name,State (FIPS),County,Census Tract,Total Population,Total Population,Population Density (Per Sq. Mile),Area (Land),Total Population:,Total Population: White Alone,Total Population: Black or African American Alone,Total Population: American Indian and Alaska Native Alone,Total Population: Asian Alone,Total Population: Native Hawaiian and Other Pacific Islander Alone,Total Population: Some Other Race Alone,Total Population: Two or More Races,Total Population: Hispanic or Latino,Total Population: Hispanic or Latino: Two or More Races,Total: Two or More Asian
6037106010,Census Tract 1060.10,"Census Tract 1060.10, Los Angeles County, California",6,37,106010,3108,3108,3197.101,0.972130759,3108,2369,83,20,118,0,427,91,2329,34,0
6037106020,Census Tract 1060.20,"Census Tract 1060.20, Los Angeles County, California",6,37,106020,5807,5807,7479.774,0.776360354,5807,4809,66,9,44,0,675,204,4666,163,0
6037106111,Census Tract 1061.11,"Census Tract 1061.11, Los Angeles County, California",6,37,106111,4482,4482,3043.956,1.472426127,4482,2758,229,113,404,0,823,155,2669,126,0
6037106112,Census Tract 1061.12,"Census Tract 1061.12, Los Angeles County, California",6,37,106112,5885,5885,4729.523,1.244311557,5885,4157,91,266,437,16,665,253,4193,186,0
6037106113,Census Tract 1061.13,"Census Tract 1061.13, Los Angeles County, California",6,37,106113,3962,3962,7108.968,0.557324204,3962,2872,193,0,362,0,525,10,2936,10,11
6037106114,Census Tract 1061.14,"Census Tract 1061.14, Los Angeles County, California",6,37,106114,6410,6410,16408.35,0.390654706,6410,4729,290,71,259,0,1012,49,5487,49,0
6037106403,Census Tract 1064.03,"Census Tract 1064.03, Los Angeles County, California",6,37,106403,3431,3431,8037.17,0.426891553,3431,2797,17,35,13,0,505,64,3072,64,0
6037106405,Census Tract 1064.05,"Census Tract 1064.05, Los Angeles County, California",6,37,106405,4813,4813,10638.6,0.452409046,4813,3525,278,0,82,0,848,80,3409,32,0
6037106406,Census Tract 1064.06,"Census Tract 1064.06, Los Angeles County, California",6,37,106406,5860,5860,7275.979,0.805389832,5860,4330,170,255,310,0,560,235,4035,117,34
6037106407,Census Tract 1064.07,"Census Tract 1064.07, Los Angeles County, California",6,37,106407,3272,3272,36506.36,0.089628214,3272,2520,323,6,122,0,258,43,2429,18,0
6037106408,Census Tract 1064.08,"Census Tract 1064.08, Los Angeles County, California",6,37,106408,3817,3817,43156.86,0.088444811,3817,2830,71,0,137,0,705,74,3458,62,9
6037106510,Census Tract 1065.10,"Census Tract 1065.10, Los Angeles County, California",6,37,106510,5347,5347,2425.81,2.204212143,5347,3453,347,9,480,0,727,331,3716,181,0
6037106520,Census Tract 1065.20,"Census Tract 1065.20, Los Angeles County, California",6,37,106520,5879,5879,6902.699,0.851695838,5879,4919,25,0,85,0,670,180,5116,98,0
6037106603,Census Tract 1066.03,"Census Tract 1066.03, Los Angeles County, California",6,37,106603,3222,3222,545.326,5.908392626,3222,2143,1,0,779,30,50,219,511,29,77
6037106604,Census Tract 1066.04,"Census Tract 1066.04, Los Angeles County, California",6,37,106604,5143,5143,5100.512,1.008330154,5143,4343,4,33,102,1,626,34,4705,33,0
6037106641,Census Tract 1066.41,"Census Tract 1066.41, Los Angeles County, California",6,37,106641,2352,2352,5364.764,0.438416317,2352,1684,28,0,465,0,13,162,255,20,17
6037106642,Census Tract 1066.42,"Census Tract 1066.42, Los Angeles County, California",6,37,106642,3016,3016,4951.466,0.609112475,3016,1847,175,9,337,0,496,152,821,27,0
6037106643,Census Tract 1066.43,"Census Tract 1066.43, Los Angeles County, California",6,37,106643,4599,4599,2745.222,1.675274557,4599,2965,89,83,972,0,234,256,579,79,139
6037106645,Census Tract 1066.45,"Census Tract 1066.45, Los Angeles County, California",6,37,106645,3491,3491,3576.698,0.976040043,3491,2744,159,0,437,0,114,37,554,0,0
6037106646,Census Tract 1066.46,"Census Tract 1066.46, Los Angeles County, California",6,37,106646,3439,3439,6033.661,0.56996905,3439,1935,172,0,590,16,590,136,1163,87,22
6037106648,Census Tract 1066.48,"Census Tract 1066.48, Los Angeles County, California",6,37,106648,4569,4569,14923.96,0.306151998,4569,3458,13,0,6,0,956,136,4394,113,0
6037106649,Census Tract 1066.49,"Census Tract 1066.49, Los Angeles County, California",6,37,106649,2599,2599,6049.726,0.429606238,2599,1548,86,0,536,7,297,125,1701,62,21
6037107010,Census Tract 1070.10,"Census Tract 1070.10, Los Angeles County, California",6,37,107010,3093,3093,11700.27,0.264352962,3093,2135,14,9,17,0,861,57,2978,45,0
6037107020,Census Tract 1070.20,"Census Tract 1070.20, Los Angeles County, California",6,37,107020,5442,5442,14168.3,0.38409676,5442,3776,34,108,513,0,845,166,4681,123,0
6037108101,Census Tract 1081.01,"Census Tract 1081.01, Los Angeles County, California",6,37,108101,2417,2417,5546.534,0.435767656,2417,1586,102,0,495,0,180,54,402,0,0
6037108102,Census Tract 1081.02,"Census Tract 1081.02, Los Angeles County, California",6,37,108102,3677,3677,4360.892,0.843176107,3677,1881,160,14,1349,0,180,93,276,25,75
6037108103,Census Tract 1081.03,"Census Tract 1081.03, Los Angeles County, California",6,37,108103,3153,3153,3183.802,0.990325438,3153,1970,0,14,898,15,187,69,374,0,33
