FIPS,Name of Area,Qualifying Name,State (FIPS),County,Census Tract,Total Population,Total Population,Population Density (Per Sq. Mile),Area (Land),Total Population:,Total Population: White Alone,Total Population: Black or African American Alone,Total Population: American Indian and Alaska Native Alone,Total Population: Asian Alone,Total Population: Native Hawaiian and Other Pacific Islander Alone,Total Population: Some Other Race Alone,Total Population: Two or More Races,Total Population: Hispanic or Latino,Total Population: Hispanic or Latino: Two or More Races,Total: Two or More Asian
6037218220,Census Tract 2182.20,"Census Tract 2182.20, Los Angeles County, California",6,37,218220,3929,3929,15125.48,0.259760277,3929,1495,1157,2,319,37,761,158,1859,93,0
6037218300,Census Tract 2183,"Census Tract 2183, Los Angeles County, California",6,37,218300,5354,5354,15556.39,0.344167232,5354,2073,1647,19,207,0,1184,224,2989,100,0
6037218400,Census Tract 2184,"Census Tract 2184, Los Angeles County, California",6,37,218400,4978,4978,19633.97,0.253540171,4978,2506,1050,0,83,0,1187,152,3304,80,0
6037218500,Census Tract 2185,"Census Tract 2185, Los Angeles County, California",6,37,218500,2557,2557,12656.54,0.202029894,2557,1129,745,37,94,0,435,117,1389,19,0
6037218600,Census Tract 2186,"Census Tract 2186, Los Angeles County, California",6,37,218600,3009,3009,18097.5,0.166266021,3009,1051,832,0,107,0,872,147,1654,61,0
6037218701,Census Tract 2187.01,"Census Tract 2187.01, Los Angeles County, California",6,37,218701,2448,2448,11529.73,0.212320675,2448,444,923,0,528,16,451,86,678,32,0
6037218702,Census Tract 2187.02,"Census Tract 2187.02, Los Angeles County, California",6,37,218702,2120,2120,15266.1,0.138869755,2120,597,664,13,23,0,801,22,1283,7,0
6037218800,Census Tract 2188,"Census Tract 2188, Los Angeles County, California",6,37,218800,2852,2852,17944.26,0.158936644,2852,617,661,25,487,0,978,84,1502,29,16
6037218900,Census Tract 2189,"Census Tract 2189, Los Angeles County, California",6,37,218900,6033,6033,22214,0.271585428,6033,1002,2506,16,178,0,2086,245,2795,102,0
6037219010,Census Tract 2190.10,"Census Tract 2190.10, Los Angeles County, California",6,37,219010,3003,3003,17642.31,0.170215847,3003,768,950,11,80,0,1072,122,1925,85,0
6037219020,Census Tract 2190.20,"Census Tract 2190.20, Los Angeles County, California",6,37,219020,4940,4940,17611.35,0.280500914,4940,1369,1351,17,205,0,1914,84,3026,50,0
6037219300,Census Tract 2193,"Census Tract 2193, Los Angeles County, California",6,37,219300,4163,4163,16541.79,0.251665645,4163,1139,1225,0,213,63,1430,93,2422,52,0
6037219500,Census Tract 2195,"Census Tract 2195, Los Angeles County, California",6,37,219500,1777,1777,8254.153,0.215285553,1777,321,968,0,278,0,133,77,322,24,23
6037219700,Census Tract 2197,"Census Tract 2197, Los Angeles County, California",6,37,219700,4563,4563,10817.62,0.421811993,4563,1880,1103,19,53,0,1453,55,3260,44,0
6037219800,Census Tract 2198,"Census Tract 2198, Los Angeles County, California",6,37,219800,2810,2810,16313.18,0.172253308,2810,1494,546,11,78,0,625,56,2075,38,0
6037219901,Census Tract 2199.01,"Census Tract 2199.01, Los Angeles County, California",6,37,219901,4165,4165,20551.51,0.202661557,4165,2573,722,0,18,0,770,82,3131,34,0
6037219902,Census Tract 2199.02,"Census Tract 2199.02, Los Angeles County, California",6,37,219902,3799,3799,12327.71,0.308167451,3799,1829,677,25,99,18,1061,90,2486,23,13
6037220000,Census Tract 2200,"Census Tract 2200, Los Angeles County, California",6,37,220000,5289,5289,14096.13,0.37520946,5289,1985,1521,0,376,13,1336,58,2915,24,34
6037220100,Census Tract 2201,"Census Tract 2201, Los Angeles County, California",6,37,220100,2901,2901,7668.771,0.378287467,2901,848,1492,0,123,0,347,91,1063,9,21
6037221110,Census Tract 2211.10,"Census Tract 2211.10, Los Angeles County, California",6,37,221110,3837,3837,42427.46,0.090436712,3837,1565,38,116,191,0,1881,46,3512,46,0
6037221120,Census Tract 2211.20,"Census Tract 2211.20, Los Angeles County, California",6,37,221120,3145,3145,25654.91,0.122588599,3145,1411,17,0,77,0,1558,82,3016,82,0
6037221210,Census Tract 2212.10,"Census Tract 2212.10, Los Angeles County, California",6,37,221210,3230,3230,23316.19,0.138530372,3230,870,280,62,304,0,1623,91,2537,70,30
6037221220,Census Tract 2212.20,"Census Tract 2212.20, Los Angeles County, California",6,37,221220,3659,3659,14371.82,0.254595388,3659,749,22,56,499,0,2328,5,3056,5,0
6037221302,Census Tract 2213.02,"Census Tract 2213.02, Los Angeles County, California",6,37,221302,5028,5028,28178.3,0.17843519,5028,1424,689,0,347,93,2331,144,3783,81,7
6037221303,Census Tract 2213.03,"Census Tract 2213.03, Los Angeles County, California",6,37,221303,2844,2844,31482.62,0.090335554,2844,873,163,90,382,0,1307,29,2083,0,0
6037221304,Census Tract 2213.04,"Census Tract 2213.04, Los Angeles County, California",6,37,221304,3548,3548,40436.69,0.087742105,3548,462,447,0,776,0,1853,10,2233,0,0
6037221401,Census Tract 2214.01,"Census Tract 2214.01, Los Angeles County, California",6,37,221401,3618,3618,17278.97,0.209387457,3618,894,1379,0,373,0,827,145,1468,25,0
6037221402,Census Tract 2214.02,"Census Tract 2214.02, Los Angeles County, California",6,37,221402,2740,2740,13331.57,0.205527207,2740,730,633,0,476,0,824,77,1301,37,13
6037221500,Census Tract 2215,"Census Tract 2215, Los Angeles County, California",6,37,221500,4194,4194,28531.08,0.146997592,4194,912,997,0,105,0,2173,7,3019,3,0
6037221601,Census Tract 2216.01,"Census Tract 2216.01, Los Angeles County, California",6,37,221601,3130,3130,21915.94,0.142818422,3130,779,453,41,158,0,1607,92,2258,35,4
6037221602,Census Tract 2216.02,"Census Tract 2216.02, Los Angeles County, California",6,37,221602,2919,2919,14461.1,0.2018519,2919,872,112,0,163,0,1740,32,2541,8,0
6037221710,Census Tract 2217.10,"Census Tract 2217.10, Los Angeles County, California",6,37,221710,2691,2691,21250.06,0.12663495,2691,653,177,8,440,0,1358,55,1880,45,5
6037221810,Census Tract 2218.10,"Census Tract 2218.10, Los Angeles County, California",6,37,221810,2811,2811,23922.43,0.117504792,2811,873,317,52,699,16,739,115,1253,44,15
6037221820,Census Tract 2218.20,"Census Tract 2218.20, Los Angeles County, California",6,37,221820,2316,2316,29366.12,0.078866389,2316,673,217,0,1284,8,99,35,309,4,19
6037221900,Census Tract 2219,"Census Tract 2219, Los Angeles County, California",6,37,221900,3802,3802,24032.64,0.158201505,3802,1160,330,44,1450,0,575,243,1026,16,13
6037222001,Census Tract 2220.01,"Census Tract 2220.01, Los Angeles County, California",6,37,222001,3357,3357,18331.49,0.183127489,3357,772,868,56,40,0,1537,84,2143,49,0
6037222002,Census Tract 2220.02,"Census Tract 2220.02, Los Angeles County, California",6,37,222002,5066,5066,20010.49,0.253167196,5066,761,1106,0,5,0,3138,56,3894,45,0
6037222100,Census Tract 2221,"Census Tract 2221, Los Angeles County, California",6,37,222100,4226,4226,22853.34,0.184918231,4226,978,1149,58,362,0,1654,25,2459,5,3
6037222200,Census Tract 2222,"Census Tract 2222, Los Angeles County, California",6,37,222200,3876,3876,20833.08,0.186050283,3876,924,751,31,90,0,2015,65,2756,40,0
6037222500,Census Tract 2225,"Census Tract 2225, Los Angeles County, California",6,37,222500,5444,5444,21610.19,0.251918156,5444,1206,1249,213,122,17,2521,116,3763,50,21
6037222600,Census Tract 2226,"Census Tract 2226, Los Angeles County, California",6,37,222600,5456,5456,21675.34,0.25171468,5456,1348,1195,84,924,0,1718,187,2754,92,8
6037222700,Census Tract 2227,"Census Tract 2227, Los Angeles County, California",6,37,222700,4199,4199,13304.8,0.315600304,4199,2015,299,0,1457,35,238,155,484,7,10
6037224010,Census Tract 2240.10,"Census Tract 2240.10, Los Angeles County, California",6,37,224010,2672,2672,8333.893,0.320618474,2672,1064,593,7,296,0,659,53,1451,15,25
6037224020,Census Tract 2240.20,"Census Tract 2240.20, Los Angeles County, California",6,37,224020,2476,2476,5203.771,0.475808768,2476,1223,170,57,63,0,903,60,2076,43,6
6037224200,Census Tract 2242,"Census Tract 2242, Los Angeles County, California",6,37,224200,2613,2613,18380.53,0.142161276,2613,1280,78,6,30,0,1204,15,2360,15,0
6037224310,Census Tract 2243.10,"Census Tract 2243.10, Los Angeles County, California",6,37,224310,2449,2449,35083.86,0.069804184,2449,1208,37,0,75,0,1116,13,2270,13,0
6037224320,Census Tract 2243.20,"Census Tract 2243.20, Los Angeles County, California",6,37,224320,3087,3087,27496.97,0.112266929,3087,1248,273,0,55,0,1511,0,2673,0,10
6037224410,Census Tract 2244.10,"Census Tract 2244.10, Los Angeles County, California",6,37,224410,3167,3167,18096.66,0.175004672,3167,1162,127,4,490,16,1188,180,1998,18,26
6037224420,Census Tract 2244.20,"Census Tract 2244.20, Los Angeles County, California",6,37,224420,2676,2676,19323.69,0.138482881,2676,969,179,0,121,0,1364,43,2210,18,13
6037224600,Census Tract 2246,"Census Tract 2246, Los Angeles County, California",6,37,224600,3323,3323,11971.37,0.277578892,3323,1088,284,70,79,0,1707,95,2900,91,0
6037224700,Census Tract 2247,"Census Tract 2247, Los Angeles County, California",6,37,224700,6456,6456,26298.31,0.245491099,6456,3213,283,13,2250,22,285,390,922,118,21
6037226001,Census Tract 2260.01,"Census Tract 2260.01, Los Angeles County, California",6,37,226001,2531,2531,6335.022,0.399525017,2531,906,230,49,0,0,1346,0,2286,0,0
6037226002,Census Tract 2260.02,"Census Tract 2260.02, Los Angeles County, California",6,37,226002,1754,1754,1768.781,0.991643591,1754,819,214,6,125,0,438,152,746,43,18
6037226410,Census Tract 2264.10,"Census Tract 2264.10, Los Angeles County, California",6,37,226410,3501,3501,32099.45,0.109067301,3501,1704,18,21,27,0,1731,0,3449,0,0
6037226420,Census Tract 2264.20,"Census Tract 2264.20, Los Angeles County, California",6,37,226420,5345,5345,32424.9,0.164842463,5345,2745,301,0,186,9,2065,39,4813,39,7
6037226700,Census Tract 2267,"Census Tract 2267, Los Angeles County, California",6,37,226700,7640,7640,25280.22,0.302212597,7640,4459,179,0,36,0,2828,138,7441,131,0
6037227010,Census Tract 2270.10,"Census Tract 2270.10, Los Angeles County, California",6,37,227010,5552,5552,24826.77,0.223629608,5552,3530,345,266,0,0,1402,9,5104,9,0
6037227020,Census Tract 2270.20,"Census Tract 2270.20, Los Angeles County, California",6,37,227020,3647,3647,21461.66,0.169930903,3647,1996,102,22,14,0,1496,17,3517,17,0
6037228100,Census Tract 2281,"Census Tract 2281, Los Angeles County, California",6,37,228100,5476,5476,14135.75,0.387386737,5476,3007,434,0,0,0,2035,0,5042,0,0
6037228210,Census Tract 2282.10,"Census Tract 2282.10, Los Angeles County, California",6,37,228210,4160,4160,26212.92,0.158700349,4160,2184,434,102,73,0,1279,88,3695,88,0
6037228220,Census Tract 2282.20,"Census Tract 2282.20, Los Angeles County, California",6,37,228220,4312,4312,30495.91,0.141396022,4312,1992,448,14,7,0,1738,113,3738,65,0
6037228310,Census Tract 2283.10,"Census Tract 2283.10, Los Angeles County, California",6,37,228310,4518,4518,21418.93,0.210934954,4518,2153,174,4,0,0,2108,79,4284,79,0
6037228320,Census Tract 2283.20,"Census Tract 2283.20, Los Angeles County, California",6,37,228320,3081,3081,23675.91,0.130132263,3081,1729,134,62,0,0,1114,42,2953,42,0
6037228410,Census Tract 2284.10,"Census Tract 2284.10, Los Angeles County, California",6,37,228410,3469,3469,32352.12,0.107226366,3469,1971,68,0,12,12,1323,83,3298,83,0
6037228420,Census Tract 2284.20,"Census Tract 2284.20, Los Angeles County, California",6,37,228420,3160,3160,29504.68,0.107101655,3160,1405,214,0,0,0,1534,7,2919,7,0
6037228500,Census Tract 2285,"Census Tract 2285, Los Angeles County, California",6,37,228500,5109,5109,29477.31,0.173319722,5109,1322,787,37,42,0,2921,0,4290,0,0
6037228600,Census Tract 2286,"Census Tract 2286, Los Angeles County, California",6,37,228600,5125,5125,25189.03,0.20346156,5125,1208,368,29,6,0,3254,260,4709,258,0
6037228710,Census Tract 2287.10,"Census Tract 2287.10, Los Angeles County, California",6,37,228710,3944,3944,25235.15,0.156289913,3944,1895,490,12,40,0,1443,64,3345,24,0
6037228720,Census Tract 2287.20,"Census Tract 2287.20, Los Angeles County, California",6,37,228720,4835,4835,30984.86,0.156043966,4835,2404,480,98,12,0,1841,0,4330,0,0
6037228800,Census Tract 2288,"Census Tract 2288, Los Angeles County, California",6,37,228800,5901,5901,18098.08,0.326056723,5901,2609,463,0,0,5,2817,7,5439,0,0
6037228900,Census Tract 2289,"Census Tract 2289, Los Angeles County, California",6,37,228900,2650,2650,13313.78,0.199041849,2650,1223,366,0,5,0,1029,27,2289,27,0
6037229100,Census Tract 2291,"Census Tract 2291, Los Angeles County, California",6,37,229100,5232,5232,28525.09,0.183417452,5232,2534,190,39,0,0,2420,49,4984,35,0
6037229200,Census Tract 2292,"Census Tract 2292, Los Angeles County, California",6,37,229200,4648,4648,27011.37,0.172075701,4648,1715,727,156,55,0,1987,8,3869,8,0
6037229300,Census Tract 2293,"Census Tract 2293, Los Angeles County, California",6,37,229300,5753,5753,29657.16,0.193983524,5753,1932,656,6,0,0,3137,22,5050,5,0
6037229410,Census Tract 2294.10,"Census Tract 2294.10, Los Angeles County, California",6,37,229410,3571,3571,17050.89,0.209431858,3571,1929,315,0,21,0,1306,0,3210,0,0
6037229420,Census Tract 2294.20,"Census Tract 2294.20, Los Angeles County, California",6,37,229420,4942,4942,21911.44,0.225544288,4942,1941,463,113,6,10,2401,8,4512,0,0
6037231100,Census Tract 2311,"Census Tract 2311, Los Angeles County, California",6,37,231100,3339,3339,9672.706,0.345198124,3339,1410,641,20,45,0,1187,36,2391,0,0
6037231210,Census Tract 2312.10,"Census Tract 2312.10, Los Angeles County, California",6,37,231210,3516,3516,28397.06,0.123815632,3516,917,691,155,32,0,1610,111,2723,79,0
6037231220,Census Tract 2312.20,"Census Tract 2312.20, Los Angeles County, California",6,37,231220,4671,4671,12534.26,0.372658483,4671,1550,1017,0,240,0,1819,45,3163,25,0
6037231300,Census Tract 2313,"Census Tract 2313, Los Angeles County, California",6,37,231300,5444,5444,21446.27,0.253843647,5444,1621,1105,33,180,0,2323,182,3969,38,0
6037231400,Census Tract 2314,"Census Tract 2314, Los Angeles County, California",6,37,231400,4656,4656,19417.56,0.239782964,4656,1210,1448,0,47,0,1881,70,3065,62,0
6037231500,Census Tract 2315,"Census Tract 2315, Los Angeles County, California",6,37,231500,5095,5095,14355.84,0.354907822,5095,1261,1892,77,165,0,1616,84,2933,6,0
6037231600,Census Tract 2316,"Census Tract 2316, Los Angeles County, California",6,37,231600,7278,7278,19745.12,0.368597461,7278,1882,2293,0,90,0,2825,188,4362,124,0
6037231710,Census Tract 2317.10,"Census Tract 2317.10, Los Angeles County, California",6,37,231710,3955,3955,31636.43,0.125014093,3955,1869,496,44,2,0,1507,37,3411,37,0
6037231720,Census Tract 2317.20,"Census Tract 2317.20, Los Angeles County, California",6,37,231720,4937,4937,27076.91,0.182332505,4937,1823,916,0,73,0,2016,109,3844,94,0
6037231800,Census Tract 2318,"Census Tract 2318, Los Angeles County, California",6,37,231800,5080,5080,25289.64,0.200872745,5080,2240,420,75,0,0,2125,220,4520,71,0
6037231900,Census Tract 2319,"Census Tract 2319, Los Angeles County, California",6,37,231900,5576,5576,25388.07,0.219630747,5576,2033,623,166,34,0,2449,271,4777,167,0
6037232110,Census Tract 2321.10,"Census Tract 2321.10, Los Angeles County, California",6,37,232110,2890,2890,19695.83,0.146731568,2890,1479,442,10,3,0,888,68,2403,61,0
6037232120,Census Tract 2321.20,"Census Tract 2321.20, Los Angeles County, California",6,37,232120,5987,5987,29712.53,0.201497459,5987,2608,1021,22,153,0,2078,105,4739,104,0
6037232200,Census Tract 2322,"Census Tract 2322, Los Angeles County, California",6,37,232200,3255,3255,16120.66,0.201914835,3255,976,1104,0,17,0,1129,29,2051,16,0
6037232300,Census Tract 2323,"Census Tract 2323, Los Angeles County, California",6,37,232300,5616,5616,23133.39,0.24276599,5616,2411,889,181,15,12,1902,206,4554,66,0
6037232400,Census Tract 2324,"Census Tract 2324, Los Angeles County, California",6,37,232400,7322,7322,17039.32,0.42971203,7322,1780,2791,0,108,0,2504,139,4094,104,0
6037232500,Census Tract 2325,"Census Tract 2325, Los Angeles County, California",6,37,232500,4700,4700,15856.57,0.296407165,4700,1426,1676,0,41,0,1494,63,2977,11,0
6037232600,Census Tract 2326,"Census Tract 2326, Los Angeles County, California",6,37,232600,6339,6339,20644.19,0.307059724,6339,2048,1574,19,47,0,2568,83,4616,83,0
6037232700,Census Tract 2327,"Census Tract 2327, Los Angeles County, California",6,37,232700,6588,6588,23335.3,0.282319069,6588,2644,1256,233,66,0,2175,214,5163,214,0
6037232800,Census Tract 2328,"Census Tract 2328, Los Angeles County, California",6,37,232800,4086,4086,24804.5,0.164728176,4086,1757,372,4,0,0,1876,77,3669,63,0
6037234000,Census Tract 2340,"Census Tract 2340, Los Angeles County, California",6,37,234000,5156,5156,10753.02,0.479493341,5156,1293,3037,17,46,0,574,189,1894,80,0
6037234200,Census Tract 2342,"Census Tract 2342, Los Angeles County, California",6,37,234200,2361,2361,6925.917,0.340893471,2361,377,1638,0,172,29,69,76,220,0,0
6037234300,Census Tract 2343,"Census Tract 2343, Los Angeles County, California",6,37,234300,3940,3940,11725.48,0.336020476,3940,247,3148,0,155,0,75,315,263,108,0
6037234501,Census Tract 2345.01,"Census Tract 2345.01, Los Angeles County, California",6,37,234501,2744,2744,9453.228,0.290271229,2744,885,1490,14,25,0,264,66,1023,2,0
6037234502,Census Tract 2345.02,"Census Tract 2345.02, Los Angeles County, California",6,37,234502,2945,2945,13999.14,0.210370087,2945,495,1887,29,20,0,429,85,981,25,0
6037234600,Census Tract 2346,"Census Tract 2346, Los Angeles County, California",6,37,234600,4622,4622,9185.362,0.503191907,4622,791,2201,0,73,0,1441,116,1862,26,0
6037234700,Census Tract 2347,"Census Tract 2347, Los Angeles County, California",6,37,234700,3482,3482,12153.14,0.286510208,3482,860,1551,0,1,0,1035,35,1896,27,0
6037234800,Census Tract 2348,"Census Tract 2348, Los Angeles County, California",6,37,234800,3476,3476,13761.73,0.252584568,3476,674,1899,60,11,0,759,73,1420,26,0
6037234901,Census Tract 2349.01,"Census Tract 2349.01, Los Angeles County, California",6,37,234901,2967,2967,23614.66,0.125642281,2967,879,1369,38,0,0,681,0,1573,0,0
6037234902,Census Tract 2349.02,"Census Tract 2349.02, Los Angeles County, California",6,37,234902,3924,3924,22699.81,0.172864894,3924,1302,1613,15,74,22,756,142,1901,79,11
6037235100,Census Tract 2351,"Census Tract 2351, Los Angeles County, California",6,37,235100,4487,4487,9836.269,0.456168909,4487,734,3059,38,224,0,303,129,681,8,0
6037235201,Census Tract 2352.01,"Census Tract 2352.01, Los Angeles County, California",6,37,235201,2676,2676,10620.2,0.251972596,2676,548,1599,0,8,8,399,114,1004,69,0
6037235202,Census Tract 2352.02,"Census Tract 2352.02, Los Angeles County, California",6,37,235202,4529,4529,13774.9,0.328786465,4529,944,2944,0,6,0,529,106,1451,25,6
6037236000,Census Tract 2360,"Census Tract 2360, Los Angeles County, California",6,37,236000,4373,4373,2865.169,1.526262284,4373,1190,2421,37,284,0,200,241,525,16,23
6037236100,Census Tract 2361,"Census Tract 2361, Los Angeles County, California",6,37,236100,5808,5808,13304.14,0.436555691,5808,869,3729,40,389,0,456,325,1443,163,7
6037236202,Census Tract 2362.02,"Census Tract 2362.02, Los Angeles County, California",6,37,236202,5782,5782,33883.55,0.170643262,5782,2038,2393,0,212,0,898,241,2942,128,31
6037236203,Census Tract 2362.03,"Census Tract 2362.03, Los Angeles County, California",6,37,236203,3181,3181,24278.75,0.131019912,3181,613,1886,32,183,8,321,138,844,22,0
6037236204,Census Tract 2362.04,"Census Tract 2362.04, Los Angeles County, California",6,37,236204,2966,2966,33418.77,0.088752535,2966,608,1637,9,23,36,576,77,1139,54,0
6037236400,Census Tract 2364,"Census Tract 2364, Los Angeles County, California",6,37,236400,4462,4462,8621.057,0.517569966,4462,595,3617,10,42,0,116,82,440,66,0
6037237101,Census Tract 2371.01,"Census Tract 2371.01, Los Angeles County, California",6,37,237101,4131,4131,17011.57,0.242834716,4131,1447,1046,46,18,0,1539,35,3007,6,0
6037237102,Census Tract 2371.02,"Census Tract 2371.02, Los Angeles County, California",6,37,237102,3357,3357,18902.76,0.177593101,3357,1313,511,8,15,0,1411,99,2806,77,0
6037237201,Census Tract 2372.01,"Census Tract 2372.01, Los Angeles County, California",6,37,237201,3582,3582,20461.43,0.175061043,3582,1273,1021,35,60,0,1145,48,2448,15,0
6037237202,Census Tract 2372.02,"Census Tract 2372.02, Los Angeles County, California",6,37,237202,4593,4593,10735.89,0.427817426,4593,1507,1581,0,76,22,1392,15,2876,0,0
6037237300,Census Tract 2373,"Census Tract 2373, Los Angeles County, California",6,37,237300,5387,5387,13984.56,0.385210665,5387,1032,2961,10,35,0,1333,16,2273,0,0
6037237401,Census Tract 2374.01,"Census Tract 2374.01, Los Angeles County, California",6,37,237401,4086,4086,20504.72,0.199271194,4086,862,983,30,0,0,2165,46,3036,33,0
6037237402,Census Tract 2374.02,"Census Tract 2374.02, Los Angeles County, California",6,37,237402,3234,3234,16069.72,0.201248037,3234,996,1099,0,0,0,893,246,1903,50,0
6037237500,Census Tract 2375,"Census Tract 2375, Los Angeles County, California",6,37,237500,2990,2990,22957.01,0.130243461,2990,757,738,62,1,0,1405,27,2215,23,0
6037237600,Census Tract 2376,"Census Tract 2376, Los Angeles County, California",6,37,237600,3902,3902,20062.12,0.194495882,3902,1335,829,45,41,0,1632,20,3014,13,0
6037237710,Census Tract 2377.10,"Census Tract 2377.10, Los Angeles County, California",6,37,237710,4248,4248,25451.66,0.166904634,4248,1158,615,14,42,0,2345,74,3480,0,0
6037237720,Census Tract 2377.20,"Census Tract 2377.20, Los Angeles County, California",6,37,237720,3753,3753,29887.69,0.12557008,3753,1017,842,2,0,0,1860,32,2804,0,0
6037237800,Census Tract 2378,"Census Tract 2378, Los Angeles County, California",6,37,237800,3664,3664,9755.204,0.375594404,3664,767,2005,54,8,0,700,130,1378,0,0
6037237900,Census Tract 2379,"Census Tract 2379, Los Angeles County, California",6,37,237900,4517,4517,11940.44,0.378294417,4517,883,3159,0,4,0,368,103,1195,28,0
6037238000,Census Tract 2380,"Census Tract 2380, Los Angeles County, California",6,37,238000,5886,5886,9163.839,0.642307223,5886,1098,4064,0,70,62,522,70,1557,24,46
6037238100,Census Tract 2381,"Census Tract 2381, Los Angeles County, California",6,37,238100,4259,4259,11212.98,0.379827629,4259,532,3054,15,16,0,518,124,1003,27,0
6037238200,Census Tract 2382,"Census Tract 2382, Los Angeles County, California",6,37,238200,4994,4994,12598.9,0.39638369,4994,475,3651,0,215,0,566,87,1090,14,0
6037238310,Census Tract 2383.10,"Census Tract 2383.10, Los Angeles County, California",6,37,238310,5018,5018,32731.32,0.153308818,5018,1119,1224,0,0,9,2656,10,3733,0,0
6037238320,Census Tract 2383.20,"Census Tract 2383.20, Los Angeles County, California",6,37,238320,4090,4090,22621.29,0.180803154,4090,1084,1240,0,24,29,1713,0,2840,0,0
6037238400,Census Tract 2384,"Census Tract 2384, Los Angeles County, California",6,37,238400,4801,4801,9553.656,0.502530128,4801,432,3761,0,0,14,457,137,837,0,0
6037239201,Census Tract 2392.01,"Census Tract 2392.01, Los Angeles County, California",6,37,239201,3913,3913,22527.94,0.173695399,3913,990,798,30,0,0,2063,32,3090,17,0
6037239202,Census Tract 2392.02,"Census Tract 2392.02, Los Angeles County, California",6,37,239202,5682,5682,11536.59,0.492520043,5682,2140,744,44,0,0,2464,290,4914,276,0
6037239310,Census Tract 2393.10,"Census Tract 2393.10, Los Angeles County, California",6,37,239310,4026,4026,19495.55,0.206508679,4026,1863,466,11,0,0,1680,6,3608,1,0
6037239320,Census Tract 2393.20,"Census Tract 2393.20, Los Angeles County, California",6,37,239320,4179,4179,31185.25,0.13400564,4179,1324,577,207,27,0,1916,128,3543,70,13
6037239330,Census Tract 2393.30,"Census Tract 2393.30, Los Angeles County, California",6,37,239330,2689,2689,7110.071,0.378195961,2689,1178,205,8,0,0,1253,45,2454,29,0
6037239501,Census Tract 2395.01,"Census Tract 2395.01, Los Angeles County, California",6,37,239501,3622,3622,19782.12,0.183094671,3622,1426,754,0,38,0,1323,81,2766,71,0
6037239502,Census Tract 2395.02,"Census Tract 2395.02, Los Angeles County, California",6,37,239502,3726,3726,18888.19,0.197266165,3726,937,815,0,0,0,1931,43,2892,37,0
6037239601,Census Tract 2396.01,"Census Tract 2396.01, Los Angeles County, California",6,37,239601,3629,3629,22257.43,0.163046701,3629,1051,668,64,8,60,1744,34,2879,6,0
6037239602,Census Tract 2396.02,"Census Tract 2396.02, Los Angeles County, California",6,37,239602,3805,3805,27521.05,0.138257783,3805,1283,767,31,17,0,1660,47,3060,47,0
6037239701,Census Tract 2397.01,"Census Tract 2397.01, Los Angeles County, California",6,37,239701,5015,5015,31704.1,0.158181428,5015,1630,919,21,0,0,2445,0,4096,0,0
6037239702,Census Tract 2397.02,"Census Tract 2397.02, Los Angeles County, California",6,37,239702,4096,4096,21816.12,0.187751063,4096,898,1262,0,0,0,1884,52,2837,52,0
6037239801,Census Tract 2398.01,"Census Tract 2398.01, Los Angeles County, California",6,37,239801,3586,3586,25050.23,0.143152401,3586,1383,415,51,5,0,1681,51,3204,28,0
6037239802,Census Tract 2398.02,"Census Tract 2398.02, Los Angeles County, California",6,37,239802,5623,5623,23896.38,0.235307654,5623,1660,1644,146,79,0,2022,72,3810,50,0
6037240010,Census Tract 2400.10,"Census Tract 2400.10, Los Angeles County, California",6,37,240010,3697,3697,16272.37,0.227194875,3697,988,886,14,0,0,1790,19,2786,0,0
6037240020,Census Tract 2400.20,"Census Tract 2400.20, Los Angeles County, California",6,37,240020,5232,5232,18835.91,0.27776731,5232,1897,1446,23,10,18,1821,17,3759,10,0
6037240200,Census Tract 2402,"Census Tract 2402, Los Angeles County, California",6,37,240200,5311,5311,18418.81,0.28834651,5311,1520,1292,26,80,0,2381,12,3971,12,0
6037240300,Census Tract 2403,"Census Tract 2403, Los Angeles County, California",6,37,240300,5803,5803,18474.74,0.314104544,5803,2480,1624,0,34,0,1657,8,3995,0,0
6037240401,Census Tract 2404.01,"Census Tract 2404.01, Los Angeles County, California",6,37,240401,6184,6184,23110.48,0.267584251,6184,2081,1627,0,35,0,2264,177,4545,170,0
6037240402,Census Tract 2404.02,"Census Tract 2404.02, Los Angeles County, California",6,37,240402,4107,4107,17690.17,0.232162852,4107,1264,1606,20,2,0,1084,131,2543,116,0
6037240500,Census Tract 2405,"Census Tract 2405, Los Angeles County, California",6,37,240500,7466,7466,23798.23,0.313720759,7466,2443,1940,12,0,0,2982,89,5417,65,0
6037240600,Census Tract 2406,"Census Tract 2406, Los Angeles County, California",6,37,240600,6325,6325,24238.16,0.260952174,6325,2147,1823,0,18,0,2327,10,4417,10,0
6037240700,Census Tract 2407,"Census Tract 2407, Los Angeles County, California",6,37,240700,6367,6367,13805.39,0.461196731,6367,2634,1878,30,67,0,1741,17,4399,17,0
6037240800,Census Tract 2408,"Census Tract 2408, Los Angeles County, California",6,37,240800,4296,4296,17642.82,0.243498425,4296,1764,1108,70,17,0,1310,27,3076,0,0
6037240900,Census Tract 2409,"Census Tract 2409, Los Angeles County, California",6,37,240900,6355,6355,15562.37,0.408356718,6355,3400,1576,0,18,0,1282,79,4758,79,0
6037241001,Census Tract 2410.01,"Census Tract 2410.01, Los Angeles County, California",6,37,241001,4429,4429,12687.95,0.349071501,4429,1698,1256,0,7,7,1369,92,3080,36,0
6037241002,Census Tract 2410.02,"Census Tract 2410.02, Los Angeles County, California",6,37,241002,4065,4065,14884.04,0.273111304,4065,1196,1572,0,4,0,1237,56,2455,32,0
