FIPS,Name of Area,Qualifying Name,State (FIPS),County,Census Tract,Total Population,Housing Units,Occupied Housing Units:,Occupied Housing Units: Owner Occupied,Occupied Housing Units: Renter Occupied
6065043206,"Census Tract 432.06, Riverside County, California","Census Tract 432.06, Riverside County, California",6,65,43206,7571,2884,2568,1256,1312
6065043211,"Census Tract 432.11, Riverside County, California","Census Tract 432.11, Riverside County, California",6,65,43211,5259,1679,1631,1284,347
6065043216,"Census Tract 432.16, Riverside County, California","Census Tract 432.16, Riverside County, California",6,65,43216,7907,2566,2511,958,1553
6065043217,"Census Tract 432.17, Riverside County, California","Census Tract 432.17, Riverside County, California",6,65,43217,3389,1050,1016,732,284
6065043218,"Census Tract 432.18, Riverside County, California","Census Tract 432.18, Riverside County, California",6,65,43218,5807,1711,1607,1327,280
6065043220,"Census Tract 432.20, Riverside County, California","Census Tract 432.20, Riverside County, California",6,65,43220,3754,1798,1510,466,1044
6065043222,"Census Tract 432.22, Riverside County, California","Census Tract 432.22, Riverside County, California",6,65,43222,3984,1293,1232,1102,130
6065043227,"Census Tract 432.27, Riverside County, California","Census Tract 432.27, Riverside County, California",6,65,43227,7242,2201,2123,1388,735
6065043228,"Census Tract 432.28, Riverside County, California","Census Tract 432.28, Riverside County, California",6,65,43228,4705,1501,1398,577,821
6065043229,"Census Tract 432.29, Riverside County, California","Census Tract 432.29, Riverside County, California",6,65,43229,5110,2540,2322,1833,489
6065043235,"Census Tract 432.35, Riverside County, California","Census Tract 432.35, Riverside County, California",6,65,43235,4896,1286,1205,944,261
6065043239,"Census Tract 432.39, Riverside County, California","Census Tract 432.39, Riverside County, California",6,65,43239,6133,2395,2142,1815,327
6065043240,"Census Tract 432.40, Riverside County, California","Census Tract 432.40, Riverside County, California",6,65,43240,9096,2818,2588,1825,763
6065043242,"Census Tract 432.42, Riverside County, California","Census Tract 432.42, Riverside County, California",6,65,43242,8762,2496,2395,2131,264
6065043244,"Census Tract 432.44, Riverside County, California","Census Tract 432.44, Riverside County, California",6,65,43244,7036,2547,2432,1870,562
6065043246,"Census Tract 432.46, Riverside County, California","Census Tract 432.46, Riverside County, California",6,65,43246,5319,1663,1571,1215,356
6065043247,"Census Tract 432.47, Riverside County, California","Census Tract 432.47, Riverside County, California",6,65,43247,9193,2338,2243,1751,492
6065043248,"Census Tract 432.48, Riverside County, California","Census Tract 432.48, Riverside County, California",6,65,43248,4842,1363,1354,1103,251
